***
*** Digital Image Correlation Engine (DICe), (git sha1: v3.0-beta.8-11-g5ebcdf) Copyright 2021 National Technology & Engineering Solutions of Sandia, LLC (NTESS)
***
*** Reference image: /home/rspencer/moose_work/Geometry_Optimisation/sens_opt_sinh_spline/imdef/imdef_0/defimage_0000.tiff 
*** Deformed image: /home/rspencer/moose_work/Geometry_Optimisation/sens_opt_sinh_spline/imdef/imdef_0/defimage_0001.tiff 
*** DIC method : local 
*** Correlation method: ZNSSD
*** Interpolation method: KEYS_FOURTH
*** Image gradient method: FINITE_DIFFERENCE
*** Optimization method: GRADIENT_BASED_THEN_SIMPLEX
*** Projection method: DISPLACEMENT_BASED
*** Guess initialization method: USE_FEATURE_MATCHING
*** Seed location: N/A
*** Shape functions: Translation (u,v) Normal Strain (ex,ey) Shear Strain (gamma_xy) 
*** Incremental correlation: false
*** Subset size: 21
*** Step size: x 10 y 10 (-1 implies not regular grid)
*** Strain window size in pixels: 100 (only first strain post-processor is reported)
*** Coordinates given with (0,0) as upper left corner of image, x positive right, y positive down
***
SUBSET_ID,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,VSG_STRAIN_XX,VSG_STRAIN_YY,SIGMA,GAMMA,MATCH
75,8.0000E+01,1.5600E+03,2.8961E-02,-1.0771E+00,-7.0415E-06,-4.1081E-04,3.1361E-03,3.6460E-05,0.0000E+00
76,9.0000E+01,1.5600E+03,2.8293E-02,-1.0833E+00,-6.5375E-06,-4.0959E-04,3.1149E-03,3.9988E-05,0.0000E+00
77,9.0000E+01,1.5500E+03,4.0049E-02,-1.0785E+00,-1.7799E-05,-4.0233E-04,3.4779E-03,2.6475E-05,0.0000E+00
78,9.0000E+01,1.5400E+03,5.1957E-02,-1.0749E+00,-2.4773E-05,-3.9954E-04,3.6019E-03,2.4668E-05,0.0000E+00
79,9.0000E+01,1.5300E+03,6.5127E-02,-1.0704E+00,-3.0338E-05,-3.9309E-04,3.3608E-03,2.5031E-05,0.0000E+00
80,9.0000E+01,1.5200E+03,7.8066E-02,-1.0664E+00,-4.2134E-05,-3.8418E-04,3.3350E-03,2.5997E-05,0.0000E+00
81,9.0000E+01,1.5100E+03,9.1112E-02,-1.0614E+00,-5.3926E-05,-3.7024E-04,3.4290E-03,2.5998E-05,0.0000E+00
82,9.0000E+01,1.5000E+03,1.0275E-01,-1.0576E+00,-6.0471E-05,-3.6002E-04,3.6034E-03,2.7703E-05,0.0000E+00
83,9.0000E+01,1.4900E+03,1.1523E-01,-1.0544E+00,-6.7337E-05,-3.4824E-04,3.4222E-03,2.4410E-05,0.0000E+00
84,9.0000E+01,1.4800E+03,1.2925E-01,-1.0523E+00,-6.5311E-05,-3.2913E-04,3.4688E-03,2.7874E-05,0.0000E+00
85,9.0000E+01,1.4700E+03,1.4108E-01,-1.0491E+00,-6.0862E-05,-3.0988E-04,3.0657E-03,2.7297E-05,0.0000E+00
86,9.0000E+01,1.4600E+03,1.5247E-01,-1.0452E+00,-5.5655E-05,-2.9092E-04,2.9734E-03,2.7486E-05,0.0000E+00
87,9.0000E+01,1.4500E+03,1.6480E-01,-1.0414E+00,-4.5752E-05,-2.8116E-04,3.0506E-03,3.0290E-05,0.0000E+00
88,9.0000E+01,1.4400E+03,1.7548E-01,-1.0389E+00,-2.8393E-05,-2.7198E-04,3.4721E-03,3.1527E-05,0.0000E+00
89,9.0000E+01,1.4300E+03,1.8600E-01,-1.0371E+00,-1.1408E-05,-2.6126E-04,3.3834E-03,2.9519E-05,0.0000E+00
90,9.0000E+01,1.4200E+03,1.9801E-01,-1.0339E+00,5.2341E-06,-2.5154E-04,2.8297E-03,3.2260E-05,0.0000E+00
91,9.0000E+01,1.4100E+03,2.0921E-01,-1.0320E+00,1.6782E-05,-2.3338E-04,3.2431E-03,3.4437E-05,0.0000E+00
92,9.0000E+01,1.4000E+03,2.1974E-01,-1.0291E+00,2.5364E-05,-2.1377E-04,3.4149E-03,3.2554E-05,0.0000E+00
93,9.0000E+01,1.3900E+03,2.2838E-01,-1.0271E+00,4.0414E-05,-1.9766E-04,3.0284E-03,3.8875E-05,0.0000E+00
94,9.0000E+01,1.3800E+03,2.3479E-01,-1.0226E+00,6.3498E-05,-1.8609E-04,3.9055E-03,9.4080E-05,0.0000E+00
95,9.0000E+01,5.9000E+02,-3.3043E-02,-1.1787E-01,-1.2940E-04,-3.9791E-04,3.7355E-03,2.6485E-05,0.0000E+00
96,9.0000E+01,5.8000E+02,-3.2609E-02,-1.1392E-01,-1.2805E-04,-4.0130E-04,3.0671E-03,2.8364E-05,0.0000E+00
97,9.0000E+01,5.7000E+02,-3.0752E-02,-1.1081E-01,-1.3594E-04,-4.0900E-04,3.0880E-03,2.6613E-05,0.0000E+00
98,9.0000E+01,5.6000E+02,-3.0304E-02,-1.0746E-01,-1.3783E-04,-4.1528E-04,2.9328E-03,2.9020E-05,0.0000E+00
99,9.0000E+01,5.5000E+02,-3.0823E-02,-1.0441E-01,-1.4231E-04,-4.1598E-04,2.9390E-03,2.7029E-05,0.0000E+00
100,9.0000E+01,5.4000E+02,-3.0519E-02,-1.0035E-01,-1.4386E-04,-4.1362E-04,2.9152E-03,2.4066E-05,0.0000E+00
101,9.0000E+01,5.3000E+02,-2.9515E-02,-9.5985E-02,-1.4494E-04,-4.1585E-04,3.6305E-03,2.4633E-05,0.0000E+00
102,9.0000E+01,5.2000E+02,-2.8835E-02,-9.1535E-02,-1.5095E-04,-4.2163E-04,3.3718E-03,2.5008E-05,0.0000E+00
103,9.0000E+01,5.1000E+02,-3.0035E-02,-8.6005E-02,-1.5318E-04,-4.2154E-04,3.6866E-03,2.3665E-05,0.0000E+00
104,9.0000E+01,5.0000E+02,-2.8307E-02,-8.2723E-02,-1.5726E-04,-4.2464E-04,4.4156E-03,2.3832E-05,0.0000E+00
105,9.0000E+01,4.9000E+02,-2.8620E-02,-7.8959E-02,-1.5895E-04,-4.2541E-04,4.5730E-03,2.3171E-05,0.0000E+00
106,9.0000E+01,4.8000E+02,-3.0481E-02,-7.4352E-02,-1.5973E-04,-4.2722E-04,3.8944E-03,2.2887E-05,0.0000E+00
107,9.0000E+01,4.7000E+02,-3.0521E-02,-7.0064E-02,-1.6119E-04,-4.2272E-04,3.4659E-03,2.5048E-05,0.0000E+00
108,9.0000E+01,4.6000E+02,-3.0172E-02,-6.5885E-02,-1.6145E-04,-4.2451E-04,3.2331E-03,2.5692E-05,0.0000E+00
109,9.0000E+01,4.5000E+02,-3.0584E-02,-6.0994E-02,-1.6070E-04,-4.3551E-04,3.3350E-03,2.5554E-05,0.0000E+00
110,1.0000E+02,4.5000E+02,-3.2304E-02,-6.3052E-02,-1.6392E-04,-4.4212E-04,3.4125E-03,2.3471E-05,0.0000E+00
111,1.0000E+02,4.6000E+02,-3.2511E-02,-6.7397E-02,-1.6259E-04,-4.3688E-04,3.2130E-03,2.4663E-05,0.0000E+00
112,1.0000E+02,4.7000E+02,-3.1911E-02,-7.2078E-02,-1.6341E-04,-4.3597E-04,3.0598E-03,2.4576E-05,0.0000E+00
113,1.0000E+02,4.8000E+02,-3.2798E-02,-7.6656E-02,-1.6157E-04,-4.3701E-04,2.8593E-03,2.2307E-05,0.0000E+00
114,1.0000E+02,4.9000E+02,-3.1695E-02,-8.0603E-02,-1.6319E-04,-4.3764E-04,3.6024E-03,2.3504E-05,0.0000E+00
115,1.0000E+02,5.0000E+02,-3.1254E-02,-8.4378E-02,-1.6113E-04,-4.3518E-04,3.3951E-03,2.4760E-05,0.0000E+00
116,1.0000E+02,5.1000E+02,-3.1758E-02,-8.8393E-02,-1.5715E-04,-4.3332E-04,3.5861E-03,2.4927E-05,0.0000E+00
117,1.0000E+02,5.2000E+02,-3.0861E-02,-9.3496E-02,-1.5651E-04,-4.3341E-04,3.4380E-03,2.3451E-05,0.0000E+00
118,1.0000E+02,5.3000E+02,-3.1822E-02,-9.7339E-02,-1.5676E-04,-4.2803E-04,3.2408E-03,2.2026E-05,0.0000E+00
119,1.0000E+02,5.4000E+02,-3.1038E-02,-1.0268E-01,-1.5398E-04,-4.2649E-04,3.3118E-03,2.2045E-05,0.0000E+00
120,1.0000E+02,5.5000E+02,-3.1266E-02,-1.0708E-01,-1.5151E-04,-4.2445E-04,3.2256E-03,2.5397E-05,0.0000E+00
