Index;ADC 1 channel 1 [V];Camera 1 : Exposure time [];Camera 2 : Exposure time [];LightSource 1 : Illumination time [];Reference time : Time 1 []
328;0.68031;50500;50500;50500;25.15
329;0.677553;50500;50500;50500;25.15
330;0.676189;50500;50500;50500;25.15
331;0.674836;50500;50500;50500;25.15
332;0.670701;50500;50500;50500;25.15
333;0.667962;50500;50500;50500;25.15
334;0.665865;50500;50500;50500;25.15
335;0.663818;50500;50500;50500;25.15
336;0.66109;50500;50500;50500;25.15
337;0.658354;50500;50500;50500;25.15
338;0.655624;50500;50500;50500;25.15
339;0.65152;50500;50500;50500;25.15
340;0.648769;50500;50500;50500;25.15
341;0.646055;50500;50500;50500;25.15
342;0.643347;50500;50500;50500;25.15
343;0.639368;50500;50500;50500;25.15
344;0.636503;50500;50500;50500;25.15
345;0.632381;50500;50500;50500;25.15
346;0.628288;50500;50500;50500;25.15
347;0.625573;50500;50500;50500;25.15
348;0.62144;50500;50500;50500;25.15
349;0.617393;50500;50500;50500;25.15
350;0.613275;50500;50500;50500;25.15
351;0.607804;50500;50500;50500;25.15
352;0.603655;50500;50500;50500;25.15
353;0.599583;50500;50500;50500;25.15
354;0.595465;50500;50500;50500;25.15
355;0.590024;50500;50500;50500;25.15
356;0.584556;50500;50500;50500;25.15
357;0.579172;50500;50500;50500;25.15
358;0.574299;50500;50500;50500;25.15
359;0.568232;50500;50500;50500;25.15
360;0.564128;50500;50500;50500;25.15
361;0.557293;50500;50500;50500;25.15
362;0.551314;50500;50500;50500;25.15
363;0.543801;50500;50500;50500;25.15
364;0.53816;50500;50500;50500;25.15
365;0.531326;50500;50500;50500;25.15
366;0.524489;50500;50500;50500;25.15
367;0.517043;50500;50500;50500;25.15
368;0.509052;50500;50500;50500;25.15
369;0.499931;50500;50500;50500;25.15
370;0.491586;50500;50500;50500;25.15
371;0.48338;50500;50500;50500;25.15
372;0.474591;50500;50500;50500;25.15
373;0.464302;50500;50500;50500;25.15
374;0.454659;50500;50500;50500;25.15
375;0.442971;50500;50500;50500;25.15
376;0.431425;50500;50500;50500;25.15
377;0.419133;50500;50500;50500;25.15
378;0.405577;50500;50500;50500;25.15
