x_pic,y_pic,x,y,z,u,v,w,exx,eyy,exy,e1,e2,gamma,evm
746,1349,1.72651E-001,-5.61503E-001,1.61712E-003,-1.69619E-005,5.35475E-005,3.17629E-003,2.30411E-004,4.48019E-005,1.54744E-004,3.18046E-004,-4.28328E-005,2.95238E+001,3.45186E-004
756,1349,2.55607E-001,-5.61614E-001,1.87488E-003,-6.22383E-005,3.65938E-005,3.24549E-003,1.25254E-004,-1.67136E-005,5.15277E-005,1.41985E-004,-3.34441E-005,1.79881E+001,1.48457E-004
726,1349,6.34555E-003,-5.61473E-001,3.33191E-004,-1.78254E-004,-5.55730E-005,4.47042E-003,-2.66052E-004,1.31412E-004,4.92186E-005,1.37416E-004,-2.72056E-004,8.30449E+001,2.72061E-004
676,1349,-4.08233E-001,-5.61094E-001,2.58075E-003,-5.21795E-005,-5.02910E-005,3.29893E-003,2.66955E-004,1.37392E-004,-1.01061E-005,2.67739E-004,1.36609E-004,-4.43341E+000,4.11374E-004
686,1349,-3.25257E-001,-5.61069E-001,8.33776E-004,4.19794E-006,-1.25405E-005,2.55012E-003,6.22738E-004,5.59818E-005,3.69264E-005,6.25134E-004,5.35860E-005,3.71212E+000,7.54685E-004
766,1349,3.38617E-001,-5.61734E-001,1.32656E-003,-1.81286E-005,2.38228E-005,3.06696E-003,1.02426E-004,-8.39330E-005,-8.07062E-005,1.32518E-004,-1.14025E-004,-2.04485E+001,1.43538E-004
776,1349,4.21458E-001,-5.61599E-001,-1.21559E-003,-3.38314E-006,8.13725E-005,3.04880E-003,2.44311E-004,-2.50909E-004,-1.16671E-004,2.70421E-004,-2.77019E-004,-1.26147E+001,3.16134E-004
656,1349,-5.73969E-001,-5.61080E-001,5.67119E-003,-8.40648E-006,-1.10589E-004,3.51432E-003,-3.54382E-004,3.85667E-004,5.89021E-005,3.90326E-004,-3.59040E-004,8.54776E+001,4.33777E-004
666,1349,-4.91100E-001,-5.61099E-001,4.45738E-003,-7.65858E-005,-1.25613E-005,3.00176E-003,-8.26306E-005,1.95347E-004,-1.19692E-005,1.95861E-004,-8.31450E-005,-8.75390E+001,1.96604E-004
646,1349,-6.56920E-001,-5.60629E-001,6.99285E-003,-6.45025E-005,-2.79922E-005,3.50354E-003,-4.04935E-004,3.57689E-004,2.37009E-004,4.25345E-004,-4.72590E-004,7.40683E+001,5.20572E-004
786,1349,5.04187E-001,-5.61854E-001,-5.30484E-003,7.89531E-006,1.25735E-004,3.13866E-003,2.12831E-004,-2.80677E-004,-6.50891E-005,2.21272E-004,-2.89118E-004,-7.38847E+000,3.02383E-004
796,1349,5.87292E-001,-5.61951E-001,-3.22266E-003,-8.04254E-005,1.21706E-005,2.16457E-003,2.97753E-004,-2.51444E-004,-2.55498E-005,2.98939E-004,-2.52630E-004,-2.65786E+000,3.21798E-004
